"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",1,0,0,2,2,0,2,3,2,3,2,3,3,5,1,1,1,4,2,1
"2",2,2,2,2,0,0,3,2,0,1,0,1,3,0,2,3,2,1,1,2
"3",3,2,3,2,3,2,2,2,2,2,2,6,2,4,3,2,2,1,1,3
"4",0,4,1,2,3,3,2,2,1,1,0,2,4,2,4,2,0,0,1,2
"5",6,2,1,2,0,5,1,2,4,1,1,5,2,2,4,5,2,0,3,3
"6",2,5,1,3,2,0,1,2,1,2,2,0,4,3,3,5,4,3,1,3
"7",4,2,2,2,4,1,1,1,2,0,1,3,2,2,5,3,4,1,4,1
"8",2,0,1,2,6,4,1,1,2,4,0,2,3,2,4,1,7,2,2,4
"9",0,2,1,1,1,2,2,2,2,0,1,4,3,0,4,3,1,3,6,3
"10",0,2,2,2,4,2,3,1,4,2,1,2,4,2,2,1,1,2,0,1
"11",2,3,3,4,4,4,2,2,2,1,1,4,2,2,3,6,1,2,3,1
"12",1,4,1,0,3,3,0,4,1,6,1,4,1,2,7,6,3,0,1,2
"13",1,2,2,5,2,7,3,2,2,4,2,3,5,5,3,4,3,2,1,3
"14",1,2,3,3,3,6,1,1,3,3,1,2,7,3,4,1,3,6,1,2
"15",4,0,2,4,7,3,5,2,3,3,2,2,3,2,2,1,3,4,2,0
"16",0,3,3,4,2,3,1,0,3,3,2,2,5,4,4,1,3,2,1,3
"17",3,2,1,4,1,4,3,1,2,1,1,3,8,2,1,3,3,2,2,3
"18",1,2,6,8,2,3,2,4,4,3,3,0,2,3,2,1,6,3,3,3
"19",4,1,2,3,3,6,1,4,4,3,0,1,1,4,4,3,3,7,0,2
"20",2,3,7,4,3,4,1,2,3,2,1,1,3,4,4,6,3,1,3,2
"21",1,3,3,2,9,2,2,3,4,5,3,1,5,5,3,4,3,4,3,1
"22",1,3,5,4,3,7,1,4,3,1,2,0,5,5,3,8,2,3,1,4
"23",0,1,1,4,0,4,1,2,5,4,7,2,3,5,4,0,3,3,2,6
"24",0,3,1,8,1,3,1,2,0,1,2,4,6,8,7,3,11,3,1,4
"25",5,1,5,3,2,8,2,4,7,1,2,1,2,3,8,5,9,2,3,2
"26",1,4,3,5,5,7,3,1,6,3,6,4,7,6,3,7,5,6,3,3
"27",2,1,4,7,10,4,3,3,7,1,1,3,5,10,3,1,4,6,0,4
"28",1,0,2,12,1,9,4,4,3,5,2,1,4,6,4,10,2,14,4,1
"29",1,4,1,13,6,9,4,1,7,3,3,1,6,7,6,8,4,8,2,6
"30",4,5,3,6,11,7,3,6,8,4,4,2,6,6,10,6,10,9,3,1
"31",5,3,2,10,3,9,2,2,9,3,4,4,4,6,9,5,10,5,5,0
"32",5,3,1,7,5,6,3,1,13,4,5,6,9,11,6,3,5,10,7,1
"33",4,4,5,7,3,9,3,3,14,1,5,1,7,7,4,10,10,4,3,5
"34",2,0,6,13,8,9,3,2,13,2,6,1,9,8,10,9,6,7,3,4
"35",5,5,6,12,13,14,5,5,9,8,2,4,13,10,6,7,14,2,8,3
"36",4,3,5,12,6,12,1,6,18,6,1,5,9,14,5,9,7,13,3,3
"37",6,7,3,5,13,14,8,5,6,5,3,0,13,8,11,15,7,15,5,3
"38",3,4,2,14,9,13,2,4,10,7,2,9,11,14,9,9,14,17,2,5
"39",2,7,2,12,8,7,3,3,8,5,3,3,16,9,9,11,7,8,1,3
"40",4,4,9,15,13,5,3,7,6,4,6,6,8,9,18,11,7,17,8,3
"41",1,7,5,18,11,9,5,6,6,6,4,5,14,11,16,14,16,13,4,6
"42",10,3,6,10,8,13,8,4,11,7,3,9,7,10,12,10,12,11,7,3
"43",4,4,6,7,13,8,6,8,10,5,5,6,10,9,11,8,10,10,10,8
"44",6,6,6,11,12,13,8,7,10,5,7,10,9,13,17,16,13,13,3,4
"45",8,7,10,15,8,8,4,7,13,7,3,7,12,15,11,7,12,5,6,3
"46",7,7,5,12,13,10,12,13,7,7,4,12,16,14,12,13,5,10,10,9
"47",6,4,8,11,12,12,12,11,8,5,8,9,14,6,16,6,8,13,3,9
"48",8,13,14,7,11,9,9,9,9,9,8,7,14,7,8,11,9,10,6,6
"49",14,14,14,15,17,16,11,8,4,12,6,7,6,10,10,9,12,7,12,10
"50",8,4,11,7,8,7,8,15,6,11,14,10,8,15,16,16,15,11,5,13
"51",10,11,6,13,14,8,10,9,14,7,6,10,11,7,7,9,13,7,11,12
"52",13,7,9,9,8,9,12,12,8,11,8,16,16,13,8,7,6,7,12,9
"53",12,11,14,9,6,9,10,8,12,11,11,19,6,9,7,3,11,7,11,7
"54",8,6,8,7,6,6,11,11,9,7,13,9,9,7,12,9,14,10,7,11
"55",7,11,18,5,10,9,10,9,7,12,20,12,6,7,10,6,8,7,12,16
"56",9,10,15,4,4,14,13,12,4,8,16,15,9,10,3,3,8,12,17,10
"57",10,10,9,15,3,6,12,9,10,15,19,11,10,4,5,5,7,6,11,14
"58",11,11,13,6,13,4,12,15,6,8,12,13,6,3,7,4,6,6,15,14
"59",15,8,10,8,10,9,13,12,3,7,13,16,5,6,5,7,6,8,9,20
"60",14,7,12,11,4,3,7,10,6,7,10,15,5,3,6,6,1,2,10,14
"61",9,16,16,8,9,7,18,8,1,8,9,11,3,8,6,3,8,2,12,7
"62",7,17,9,6,6,8,11,12,1,8,10,11,3,3,4,4,6,5,11,9
"63",13,11,18,5,8,3,8,13,4,6,10,8,3,6,3,4,4,6,23,9
"64",17,7,8,5,5,3,14,13,4,9,11,11,6,3,5,5,7,6,11,12
"65",11,14,9,3,5,1,9,10,4,6,14,7,2,4,2,2,4,5,13,9
"66",9,6,19,1,7,6,6,5,9,10,6,5,2,4,6,2,3,6,13,6
"67",15,10,7,5,4,4,10,9,4,5,14,11,1,5,8,4,5,6,11,5
"68",9,12,11,5,3,3,8,10,1,15,7,6,4,4,2,3,3,3,14,16
"69",6,9,4,4,4,7,8,8,1,7,7,10,5,4,2,2,1,1,4,5
"70",5,3,5,7,5,3,8,9,6,9,8,9,2,4,8,2,3,7,11,4
"71",3,9,7,1,3,2,6,6,4,7,8,5,1,0,3,3,1,3,8,6
"72",9,4,9,4,4,3,4,9,5,10,7,4,1,1,5,1,3,4,6,9
"73",3,8,5,3,1,3,5,2,3,9,7,5,4,2,2,6,1,1,6,5
"74",5,6,8,2,1,1,6,2,1,9,5,4,3,2,4,2,2,3,7,6
"75",3,4,4,5,3,3,1,8,0,8,6,7,2,1,2,2,3,3,9,6
"76",3,4,5,2,2,1,12,4,0,5,11,7,0,2,0,5,2,1,8,3
"77",6,6,5,3,2,2,4,8,3,3,3,6,4,1,0,4,4,1,8,1
"78",8,5,4,1,0,1,6,3,1,5,9,1,4,0,3,2,0,1,4,6
"79",3,7,5,1,4,2,5,3,3,4,1,3,3,2,2,3,5,4,0,4
"80",2,4,4,4,1,4,5,4,2,5,5,4,4,2,1,3,1,1,7,8
"81",4,5,4,0,4,3,5,6,5,2,2,5,2,0,4,2,3,1,6,5
"82",5,1,4,4,1,1,4,7,5,4,2,5,1,2,2,1,6,4,4,3
"83",2,4,4,0,1,1,3,4,2,2,4,5,3,1,1,3,3,2,1,1
"84",5,5,3,2,2,0,3,4,1,1,4,1,3,1,0,1,2,3,3,6
"85",4,3,5,1,0,4,3,3,0,3,2,1,2,2,3,4,3,2,5,4
"86",2,2,1,2,3,2,3,4,4,4,5,1,3,3,1,4,0,2,2,6
"87",0,4,4,2,0,0,3,1,4,3,1,6,3,1,4,4,1,3,1,3
"88",1,5,5,3,3,3,4,0,0,1,0,1,0,2,0,0,1,1,2,3
"89",6,2,4,3,1,2,4,5,0,2,3,3,3,1,1,3,4,1,2,6
"90",4,1,2,3,4,4,1,1,0,4,7,4,2,1,2,0,0,1,2,3
"91",2,1,2,3,1,5,3,2,0,3,8,2,1,4,1,3,6,5,1,2
"92",2,1,3,1,2,1,2,1,1,3,4,1,2,3,4,0,2,2,1,2
"93",1,2,1,4,3,2,3,2,1,5,2,1,2,4,0,1,0,1,2,2
"94",7,3,4,1,0,2,2,1,4,1,4,3,2,4,2,2,2,0,2,5
"95",0,2,3,1,1,1,1,3,4,2,2,2,1,3,3,1,1,4,2,3
"96",5,4,1,2,3,4,4,1,1,1,5,0,0,1,2,4,1,3,2,4
"97",4,2,4,2,1,2,2,3,2,1,1,3,3,2,3,1,1,2,0,3
"98",1,3,2,0,1,2,1,2,1,3,3,5,0,2,3,3,3,3,2,1
"99",2,1,3,2,3,4,5,2,3,2,2,2,1,0,3,1,1,2,2,5
"100",2,2,3,1,2,4,2,3,4,1,1,2,3,3,2,0,4,0,3,1
